time,position,angle,control_input
0.22472071647644043,0.7777777777777778,0.0,29
0.23594379425048828,0.7037037037037037,0.0,30
0.24687981605529785,0.5925925925925926,0.0,32
0.25769543647766113,0.4444444444444444,0.0,33
0.26836729049682617,0.25925925925925924,0.0,34
0.27907276153564453,0.1111111111111111,0.0,35
0.2895669937133789,-0.037037037037037035,0.0,37
0.30011820793151855,-0.4074074074074074,0.0,38
0.31072044372558594,-0.8888888888888888,0.005235987755982988,39
0.321657657623291,-1.3333333333333333,0.005235987755982988,40
0.33261871337890625,-1.6666666666666667,0.005235987755982988,42
0.34349703788757324,-2.1481481481481484,0.005235987755982988,43
0.35448384284973145,-2.6666666666666665,0.005235987755982988,44
0.36513233184814453,-3.0,0.010471975511965976,45
0.3760204315185547,-3.3703703703703702,0.010471975511965976,46
0.3866596221923828,-3.888888888888889,0.010471975511965976,47
0.39740514755249023,-4.37037037037037,0.010471975511965976,48
0.4080202579498291,-5.0,0.010471975511965976,49
0.41880226135253906,-5.703703703703703,0.015707963267948967,50
0.42983579635620117,-6.592592592592593,0.015707963267948967,51
0.44055938720703125,-7.407407407407407,0.020943951023931952,52
0.45113039016723633,-8.185185185185185,0.020943951023931952,53
0.46161317825317383,-9.037037037037036,0.020943951023931952,54
0.4720757007598877,-9.925925925925926,0.020943951023931952,55
0.48302149772644043,-10.962962962962964,0.02617993877991494,56
0.49367547035217285,-11.962962962962964,0.02617993877991494,56
0.5042223930358887,-13.0,0.031415926535897934,57
0.5147149562835693,-14.037037037037036,0.031415926535897934,58
0.5252358913421631,-15.037037037037036,0.031415926535897934,58
0.535865068435669,-16.11111111111111,0.03665191429188092,59
0.5464446544647217,-17.14814814814815,0.03665191429188092,60
0.5571181774139404,-18.185185185185187,0.03665191429188092,60
0.5678784847259521,-19.296296296296298,0.03665191429188092,61
0.5788335800170898,-20.444444444444443,0.041887902047863905,61
0.5894503593444824,-21.59259259259259,0.041887902047863905,61
0.6001012325286865,-22.85185185185185,0.041887902047863905,62
0.610814094543457,-24.11111111111111,0.041887902047863905,62
0.621321439743042,-25.37037037037037,0.047123889803846894,62
0.6320798397064209,-26.666666666666668,0.047123889803846894,62
0.642430305480957,-27.962962962962962,0.047123889803846894,63
0.6531920433044434,-29.25925925925926,0.047123889803846894,63
0.6637923717498779,-30.51851851851852,0.047123889803846894,63
0.6744146347045898,-31.59259259259259,0.047123889803846894,63
0.6851181983947754,-32.7037037037037,0.047123889803846894,63
0.6959280967712402,-33.81481481481482,0.047123889803846894,63
0.7067146301269531,-34.96296296296296,0.047123889803846894,63
0.7175564765930176,-36.22222222222222,0.047123889803846894,62
0.7280967235565186,-37.48148148148148,0.047123889803846894,62
0.7386932373046875,-38.666666666666664,0.047123889803846894,62
0.7491521835327148,-39.77777777777778,0.047123889803846894,62
0.7598159313201904,-41.0,0.047123889803846894,61
0.770585298538208,-42.25925925925926,0.041887902047863905,61
0.7811851501464844,-43.51851851851852,0.041887902047863905,60
0.7917912006378174,-44.77777777777778,0.041887902047863905,60
0.8026213645935059,-46.03703703703704,0.041887902047863905,59
0.8130624294281006,-47.18518518518518,0.03665191429188092,59
0.8238298892974854,-48.407407407407405,0.03665191429188092,58
0.8343839645385742,-49.55555555555556,0.03665191429188092,58
0.8447635173797607,-50.74074074074074,0.031415926535897934,57
0.8553552627563477,-51.925925925925924,0.031415926535897934,56
0.8659255504608154,-53.074074074074076,0.02617993877991494,55
0.8764193058013916,-54.22222222222222,0.02617993877991494,54
0.8872697353363037,-55.333333333333336,0.020943951023931952,53
0.8978240489959717,-56.48148148148148,0.020943951023931952,52
0.9086034297943115,-57.55555555555556,0.015707963267948967,51
0.919323205947876,-58.666666666666664,0.015707963267948967,50
0.9299483299255371,-59.7037037037037,0.010471975511965976,49
0.94065260887146,-60.666666666666664,0.010471975511965976,48
0.9512991905212402,-61.55555555555556,0.005235987755982988,47
0.962017297744751,-62.44444444444444,0.0,46
0.9728753566741943,-63.22222222222222,6.277949319423604,44
0.9833955764770508,-64.0,6.277949319423604,43
0.9941813945770264,-64.70370370370371,6.272713331667621,42
1.0054807662963867,-65.48148148148148,6.267477343911637,40
1.0162959098815918,-66.22222222222223,6.262241356155655,39
1.0268869400024414,-66.88888888888889,6.262241356155655,37
1.037527322769165,-67.4074074074074,6.257005368399671,36
1.0485358238220215,-67.92592592592592,6.251769380643688,34
1.059194564819336,-68.29629629629629,6.246533392887705,33
1.0696337223052979,-68.62962962962963,6.241297405131722,31
1.080134391784668,-68.85185185185185,6.23606141737574,29
1.090893268585205,-69.25925925925925,6.23606141737574,28
1.1018362045288086,-69.55555555555556,6.230825429619756,26
1.1125209331512451,-69.70370370370371,6.225589441863773,24
1.1230354309082031,-69.74074074074075,6.220353454107791,22
1.1341543197631836,-69.77777777777777,6.215117466351808,21
1.1549935340881348,-69.77777777777777,6.2098814785958245,17
1.1660263538360596,-69.77777777777777,6.204645490839841,15
1.1870291233062744,-69.77777777777777,6.199409503083858,11
1.2082571983337402,-69.77777777777777,6.194173515327875,7
1.2298452854156494,-69.77777777777777,6.188937527571892,3
1.3575713634490967,-69.77777777777777,6.194173515327875,-20
1.3683497905731201,-69.74074074074075,6.194173515327875,-22
1.3790974617004395,-69.66666666666667,6.199409503083858,-24
1.3895750045776367,-69.62962962962963,6.199409503083858,-26
1.4002768993377686,-69.55555555555556,6.204645490839841,-29
1.4110395908355713,-69.48148148148148,6.204645490839841,-31
1.4218926429748535,-69.37037037037037,6.2098814785958245,-33
1.4324588775634766,-69.25925925925925,6.215117466351808,-35
